player_id,team,name,position,cpoe,int_ue,ayoe,ay_std,prob_sack_given_hit
00-0033251,ARI,Zach Pascal,WR,-0.011,0.0,0.1,10.0,0.43
00-0035228,ARI,Kyler Murray,QB,0.004,0.001,-0.6,10.0,0.55
00-0027688,ARI,Colt McCoy,QB,0.009,0.002,-1.1,8.8,0.43
00-0038582,ARI,Clayton Tune,QB,-0.031,-0.022,-2.0,9.0,0.57
00-0037238,ATL,Drake London,WR,0.007,0.001,0.1,10.0,0.43
00-0033555,ATL,Mack Hollins,WR,0.003,0.0,-0.3,10.0,0.43
00-0031800,ATL,Taylor Heinicke,QB,-0.03,-0.002,-0.1,10.3,0.39
00-0038122,ATL,Desmond Ridder,QB,-0.0,-0.006,0.4,10.2,0.51
00-0036825,ATL,Feleipe Franks,TE,-0.014,-0.019,-0.1,10.0,0.43
00-0033858,ATL,Jonnu Smith,TE,-0.014,0.0,0.1,10.0,0.43
00-0034438,ATL,Logan Woodside,QB,0.0,-0.017,-0.5,9.7,0.44
00-0034796,BAL,Lamar Jackson,QB,0.018,0.003,0.4,10.7,0.55
00-0031235,BAL,Odell Beckham,WR,0.011,0.001,0.5,10.2,0.41
00-0026300,BAL,Josh Johnson,QB,0.001,0.002,-0.5,9.2,0.37
00-0035993,BAL,Tyler Huntley,QB,-0.002,0.002,-0.9,9.0,0.52
00-0031549,BAL,Nelson Agholor,WR,0.006,0.0,-0.0,10.0,0.43
00-0037175,BAL,Anthony Brown,QB,-0.083,-0.01,-0.0,9.0,0.49
00-0031588,BUF,Stefon Diggs,WR,-0.011,0.001,0.1,10.0,0.48
00-0034577,BUF,Kyle Allen,QB,-0.026,-0.016,-0.4,9.9,0.48
00-0034857,BUF,Josh Allen,QB,0.021,-0.007,0.8,10.6,0.36
00-0033856,BUF,Leonard Fournette,RB,-0.015,0.0,-0.2,10.0,0.43
00-0033556,CAR,Tarik Cohen,RB,0.004,0.001,0.2,9.9,0.43
00-0027973,CAR,Andy Dalton,QB,-0.001,-0.0,-0.2,9.2,0.48
00-0039150,CAR,Bryce Young,QB,-0.003,0.007,-0.4,9.2,0.53
00-0036312,CAR,Jake Luton,QB,-0.055,-0.024,-0.2,10.0,0.45
00-0034827,CHI,D.J. Moore,WR,-0.014,0.0,-0.0,10.0,0.43
00-0034860,CHI,Dante Pettis,WR,0.007,0.0,0.0,10.0,0.43
00-0033958,CHI,Nathan Peterman,QB,-0.018,0.006,0.0,10.0,0.45
00-0038416,CHI,Tyson Bagent,QB,-0.009,-0.018,-2.1,10.0,0.39
00-0036945,CHI,Justin Fields,QB,-0.001,-0.0,-0.0,10.8,0.54
00-0036442,CIN,Joe Burrow,QB,0.022,0.003,-0.8,9.3,0.44
00-0036900,CIN,Ja'Marr Chase,WR,0.003,0.0,-0.3,10.0,0.43
00-0033009,CIN,Tyler Boyd,WR,-0.008,-0.012,-0.2,10.0,0.44
00-0033897,CIN,Joe Mixon,RB,0.006,0.001,0.1,10.0,0.43
00-0035100,CIN,Jake Browning,QB,0.049,-0.003,-1.5,9.3,0.48
00-0031288,CIN,AJ McCarron,QB,0.003,0.001,-0.8,9.6,0.49
00-0036133,CLE,James Proche,WR,-0.007,-0.018,0.4,10.0,0.43
00-0031544,CLE,Amari Cooper,WR,-0.009,-0.019,0.2,10.0,0.39
00-0033537,CLE,Deshaun Watson,QB,-0.004,-0.0,0.2,10.3,0.51
00-0032436,CLE,Jeff Driskel,QB,-0.039,-0.011,-0.1,10.1,0.43
00-0038583,CLE,Dorian Thompson-Robinson,QB,-0.073,-0.013,-1.4,8.5,0.4
00-0033275,CLE,P.J. Walker,QB,-0.087,-0.012,0.0,10.2,0.42
00-0026158,CLE,Joe Flacco,QB,-0.024,-0.006,1.2,10.5,0.37
00-0037012,DAL,Trey Lance,QB,-0.047,0.001,-0.4,9.8,0.42
00-0033077,DAL,Dak Prescott,QB,0.021,0.0,0.1,9.8,0.42
00-0033662,DAL,Cooper Rush,QB,-0.025,-0.001,0.1,10.0,0.37
00-0036384,DEN,Ben DiNucci,QB,-0.064,0.009,-0.1,9.8,0.57
00-0035264,DEN,Jarrett Stidham,QB,-0.001,0.002,0.2,10.6,0.41
00-0029263,DEN,Russell Wilson,QB,0.027,0.004,-0.3,11.8,0.43
00-0035864,DEN,Kendall Hinton,WR,-0.038,-0.021,0.8,10.1,0.36
00-0034348,DEN,Courtland Sutton,WR,0.01,0.001,0.2,10.0,0.43
00-0031237,DET,Teddy Bridgewater,QB,0.028,-0.002,-0.1,10.2,0.41
00-0032792,DET,Nate Sudfeld,QB,-0.002,-0.009,-0.2,10.4,0.45
00-0035040,DET,David Blough,QB,-0.006,-0.007,0.2,10.9,0.42
00-0035544,DET,Tom Kennedy,WR,0.012,0.001,0.3,10.0,0.43
00-0035685,DET,David Montgomery,RB,-0.012,-0.019,0.1,10.0,0.43
00-0033106,DET,Jared Goff,QB,0.016,0.002,-0.6,9.1,0.32
00-0038393,GB,Dontayvion Wicks,WR,0.006,0.0,0.0,10.0,0.43
00-0036264,GB,Jordan Love,QB,-0.001,0.004,0.4,10.8,0.4
00-0038391,GB,Sean Clifford,QB,0.012,0.001,0.5,10.0,0.43
00-0034177,HOU,Tim Boyle,QB,-0.035,-0.016,-1.1,9.5,0.47
00-0036898,HOU,Davis Mills,QB,-0.026,-0.003,-0.7,9.5,0.39
00-0028986,HOU,Case Keenum,QB,-0.008,-0.013,-0.5,9.6,0.48
00-0035250,HOU,Devin Singletary,RB,0.006,0.0,0.0,10.0,0.39
00-0039163,HOU,C.J. Stroud,QB,0.015,0.013,1.0,9.9,0.5
00-0034959,HOU,Andrew Beck,FB,0.003,0.0,-0.2,10.0,0.43
00-0036946,IND,Kellen Mond,QB,-0.005,0.001,-0.5,9.7,0.39
00-0036879,IND,Sam Ehlinger,QB,-0.015,-0.005,-0.9,9.8,0.52
00-0034353,IND,Anthony Miller,WR,0.002,0.0,-0.3,10.0,0.39
00-0035289,IND,Gardner Minshew,QB,-0.022,0.001,-0.3,9.4,0.51
00-0039164,IND,Anthony Richardson,QB,-0.037,0.004,-0.1,10.1,0.47
00-0033466,IND,Isaiah McKenzie,WR,0.003,0.0,-0.2,10.0,0.43
00-0033936,JAX,C.J. Beathard,QB,0.024,0.007,-0.7,9.3,0.48
00-0036971,JAX,Trevor Lawrence,QB,-0.006,-0.001,-0.2,9.7,0.44
00-0033891,JAX,Zay Jones,WR,0.009,0.001,0.3,10.0,0.43
00-0033572,JAX,Jamal Agnew,WR,-0.011,0.0,0.2,10.0,0.43
00-0034775,JAX,Christian Kirk,WR,-0.004,0.001,0.1,10.3,0.43
00-0030533,JAX,Matt Barkley,QB,-0.036,-0.007,0.7,10.3,0.44
00-0027948,KC,Blaine Gabbert,QB,-0.061,-0.025,-1.0,10.0,0.29
00-0031376,KC,Jerick McKinnon,RB,0.003,0.0,-0.1,10.0,0.43
00-0030506,KC,Travis Kelce,TE,-0.002,0.0,-0.0,9.9,0.43
00-0036929,KC,Ian Book,QB,-0.013,-0.026,-1.1,9.3,0.56
00-0036913,KC,Kadarius Toney,WR,-0.012,0.001,0.3,10.4,0.45
00-0033873,KC,Patrick Mahomes,QB,0.019,-0.002,-1.0,9.7,0.3
00-0032950,LA,Carson Wentz,QB,-0.019,-0.001,-0.0,10.7,0.4
00-0033908,LA,Cooper Kupp,WR,-0.014,0.002,0.3,10.1,0.41
00-0026498,LA,Matthew Stafford,QB,0.002,0.001,0.4,9.7,0.4
00-0032543,LAC,Alex Erickson,WR,-0.004,0.001,0.3,10.0,0.4
00-0035282,LAC,Easton Stick,QB,-0.022,0.01,-1.0,10.0,0.51
00-0035251,LAC,Will Grier,QB,-0.06,-0.027,0.4,11.9,0.52
00-0036355,LAC,Justin Herbert,QB,-0.002,0.006,-0.8,9.7,0.37
00-0030279,LAC,Keenan Allen,WR,-0.002,0.001,0.4,9.8,0.43
00-0034960,LV,Jakobi Meyers,WR,0.012,0.001,0.0,9.9,0.43
00-0038579,LV,Aidan O'Connell,QB,-0.012,0.001,0.3,10.2,0.47
00-0031345,LV,Jimmy Garoppolo,QB,0.003,-0.01,-0.3,9.1,0.43
00-0026625,LV,Brian Hoyer,QB,-0.051,-0.008,0.4,9.2,0.44
00-0033681,LV,Keelan Cole,WR,-0.013,0.0,0.1,10.0,0.39
00-0034419,MIA,Braxton Berrios,WR,0.005,0.0,0.0,10.0,0.43
00-0036212,MIA,Tua Tagovailoa,QB,0.038,-0.003,0.4,9.7,0.49
00-0036326,MIA,Chase Claypool,WR,0.005,0.0,0.1,10.0,0.39
00-0033040,MIA,Tyreek Hill,WR,-0.012,-0.019,0.1,10.0,0.43
00-0037327,MIA,Skylar Thompson,QB,-0.069,-0.007,0.1,10.6,0.28
00-0034401,MIA,Mike White,QB,-0.032,-0.004,-0.4,9.0,0.36
00-0034418,MIA,Cedrick Wilson,WR,0.027,0.002,0.5,10.0,0.43
00-0036322,MIN,Justin Jefferson,WR,-0.001,0.001,-0.1,10.0,0.4
00-0033319,MIN,Nick Mullens,QB,0.039,-0.013,0.6,10.1,0.3
00-0033949,MIN,Joshua Dobbs,QB,-0.003,0.003,-0.8,9.2,0.34
00-0038598,MIN,Jaren Hall,QB,0.003,-0.01,-0.1,10.1,0.49
00-0029604,MIN,Kirk Cousins,QB,0.038,0.003,-0.4,9.1,0.31
00-0033307,NE,Kendrick Bourne,WR,0.01,0.001,0.3,10.0,0.43
00-0038108,NE,Bailey Zappe,QB,-0.005,-0.014,-0.0,10.5,0.59
00-0034829,NE,Mike Gesicki,TE,-0.007,0.001,0.4,10.0,0.43
00-0033045,NE,Ezekiel Elliott,RB,0.003,0.0,-0.2,10.0,0.43
00-0036972,NE,Mac Jones,QB,-0.005,-0.009,-0.4,10.1,0.47
00-0031280,NO,Derek Carr,QB,0.022,0.002,0.4,10.7,0.44
00-0033357,NO,Taysom Hill,QB,-0.013,-0.001,-0.1,10.0,0.49
00-0036364,NO,Lynn Bowden,WR,-0.005,0.001,-0.0,10.2,0.39
00-0031503,NO,Jameis Winston,QB,-0.017,-0.014,1.8,11.4,0.45
00-0033906,NO,Alvin Kamara,RB,0.008,0.0,0.1,10.0,0.43
00-0029000,NYG,Cole Beasley,WR,-0.005,0.001,0.2,10.0,0.43
00-0038476,NYG,Tommy DeVito,QB,0.008,0.004,-0.9,9.9,0.74
00-0028118,NYG,Tyrod Taylor,QB,0.038,0.001,0.0,10.8,0.5
00-0036226,NYG,Jacob Eason,QB,-0.014,-0.016,-0.1,9.6,0.39
00-0035710,NYG,Daniel Jones,QB,0.016,0.001,-1.2,9.1,0.5
00-0028002,NYJ,Randall Cobb,WR,-0.013,0.0,0.0,10.0,0.43
00-0037013,NYJ,Zach Wilson,QB,-0.024,0.003,-0.3,9.7,0.54
00-0023459,NYJ,Aaron Rodgers,QB,0.012,0.003,0.2,11.2,0.45
00-0032156,NYJ,Trevor Siemian,QB,-0.053,-0.001,-1.4,9.1,0.36
00-0034955,NYJ,Brett Rypien,QB,-0.046,-0.006,-0.0,10.4,0.41
00-0037740,NYJ,Garrett Wilson,WR,-0.012,0.001,0.0,10.0,0.43
00-0036389,PHI,Jalen Hurts,QB,0.03,-0.001,0.4,10.8,0.55
00-0035676,PHI,A.J. Brown,WR,-0.008,0.001,0.4,10.0,0.43
00-0033733,PHI,Greg Ward,WR,-0.007,0.0,-0.0,9.8,0.43
00-0036919,PHI,Kenneth Gainwell,RB,0.008,0.001,0.2,10.0,0.43
00-0032268,PHI,Marcus Mariota,QB,0.009,-0.003,1.7,11.0,0.46
00-0037304,PIT,Connor Heyward,TE,-0.016,0.0,-0.1,10.0,0.43
00-0033869,PIT,Mitchell Trubisky,QB,-0.002,-0.007,0.5,10.1,0.44
00-0036893,PIT,Najee Harris,RB,0.003,0.0,-0.1,10.0,0.43
00-0035146,PIT,Trace McSorley,QB,-0.053,-0.011,-0.6,10.4,0.37
00-0038102,PIT,Kenny Pickett,QB,-0.013,0.008,-0.6,9.3,0.41
00-0034771,PIT,Mason Rudolph,QB,0.049,0.011,-0.2,10.2,0.49
00-0035704,SEA,Drew Lock,QB,-0.02,-0.002,0.0,11.0,0.53
00-0036425,SEA,DeeJay Dallas,RB,-0.013,-0.019,0.1,10.0,0.43
00-0032245,SEA,Sean Mannion,QB,-0.012,0.009,-0.9,9.7,0.44
00-0030565,SEA,Geno Smith,QB,0.025,0.003,-0.6,9.5,0.41
00-0032434,SF,Brandon Allen,QB,-0.04,-0.001,-0.8,9.5,0.43
00-0033280,SF,Christian McCaffrey,RB,0.011,0.002,0.4,10.0,0.39
00-0035719,SF,Deebo Samuel,WR,0.0,0.002,0.5,9.8,0.39
00-0030663,SF,Willie Snead,WR,-0.008,0.001,0.3,10.0,0.43
00-0034869,SF,Sam Darnold,QB,-0.007,-0.003,0.0,10.0,0.51
00-0037834,SF,Brock Purdy,QB,0.048,-0.0,0.2,9.1,0.4
00-0033921,TB,Chris Godwin,WR,-0.009,0.001,0.2,10.0,0.43
00-0036928,TB,Kyle Trask,QB,-0.031,0.002,0.2,10.5,0.38
00-0034899,TB,John Wolford,QB,-0.008,-0.012,0.0,9.2,0.37
00-0034855,TB,Baker Mayfield,QB,-0.01,0.003,0.2,10.2,0.53
00-0034411,TB,Russell Gage,WR,0.007,0.002,1.2,9.8,0.39
00-0030564,TEN,DeAndre Hopkins,WR,-0.015,-0.0,-0.2,9.9,0.39
00-0038128,TEN,Malik Willis,QB,-0.026,-0.005,-0.9,9.2,0.62
00-0032764,TEN,Derrick Henry,RB,0.003,0.001,0.2,9.8,0.43
00-0039152,TEN,Will Levis,QB,-0.012,0.014,2.1,12.6,0.38
00-0029701,TEN,Ryan Tannehill,QB,0.02,0.002,0.1,10.1,0.45
00-0037077,WAS,Sam Howell,QB,0.009,-0.007,-0.7,10.1,0.52
00-0031260,WAS,Logan Thomas,TE,0.011,0.001,0.3,10.0,0.43
00-0036626,WAS,Dyami Brown,WR,0.006,0.0,-0.1,10.0,0.43
00-0036197,WAS,Jake Fromm,QB,-0.122,-0.016,-1.0,9.6,0.41
00-0033119,WAS,Jacoby Brissett,QB,0.014,0.007,-0.0,10.2,0.37
00-0031941,WAS,Jamison Crowder,WR,0.012,0.001,0.4,10.0,0.43
