player_id,team,name,pos,depth_chart,ms_carries,msc_std,ms_targets,mst_std,prob_1ytg_given_carry,prob_gz_given_carry,ryoe,ryoe_std,prob_rz_given_target,prob_catch_oe,adot,adot_std,xyac,yac_oe
00-0036264,GB,Jordan Love,QB,1,0.085,,,,0.556,0.111,-0.03,6.2,,,,,,
00-0038391,GB,Sean Clifford,QB,2,,,,,0,0,-0.35,4.4,,,,,,
00-0033293,GB,Aaron Jones,RB,4,,,,,0.099,0.056,0.14,6,0.182,-0.01,3,7.9,6.81,0.5
00-0036265,GB,A.J. Dillon,RB,1,0.643,,0.08,,0.085,0.078,-0.41,4.4,0.091,-0.01,4.1,7.5,6.16,1.01
00-0035973,GB,Patrick Taylor,RB,3,0.17,,0.073,,0.006,0.065,-0.24,4.5,0.114,-0.06,6,8.6,5.69,-0.37
00-0035831,GB,James Robinson,RB,3,0.025,,,,0.083,0.067,-0.25,5.7,0.124,0,4.3,7.9,6.37,-0.12
00-0033118,GB,Kenyan Drake,RB,4,0.025,,0.006,,0.076,0.042,-0.32,5.9,0.139,-0.03,4.4,8.6,6.44,0.14
00-0038996,GB,Tucker Kraft,TE,1,,,0.145,,,,,,0.217,-0.01,6.3,8.9,5.4,0.66
00-0036332,GB,Josiah Deguara,TE,2,,,,,,,,,0.109,0.03,6.5,9,5.71,0.05
00-0038809,GB,Ben Sims,TE,3,,,0.031,,,,,,0.15,0,7.1,9.3,5.6,0.02
00-0038468,GB,Henry Pearson,TE,4,,,0.005,,,,,,,,,,,
00-0037816,GB,Romeo Doubs,WR,1,,,0.21,,0,0,-0.16,4.5,0.163,0,10.4,11.1,5.24,-0.3
00-0039146,GB,Jayden Reed,WR,1,0.042,,0.21,,0.143,0,0.65,6.4,0.186,0.01,10,11.8,5.66,-0.2
00-0038393,GB,Dontayvion Wicks,WR,2,0.005,,0.145,,0,0,-0.39,4.5,0.136,0.03,9.8,8.1,5.09,0.78
00-0038465,GB,Malik Heath,WR,2,0.005,,0.07,,,,,,0.113,-0.03,8.7,8.9,5.31,-0.21
00-0037098,GB,Samori Toure,WR,2,,,0.025,,,,,,0.091,-0.01,11.5,12.3,5.53,-0.8
00-0038476,NYG,Tommy DeVito,QB,1,0.08,,,,0,0.2,-0.52,4.4,,,,,,
00-0030533,NYG,Matt Barkley,QB,2,,,,,,,,,,,,,,
00-0034844,NYG,Saquon Barkley,RB,1,0.761,,0.185,,0.083,0.041,0.1,6.7,0.094,-0.03,3,7.9,6.93,0.1
00-0033308,NYG,Matt Breida,RB,2,0.116,,0.045,,0.046,0.029,-0.43,5,0.071,0.02,5.3,8.7,6.15,-0.85
00-0037410,NYG,Jashaun Corbin,RB,3,,,,,1,0,-0.32,4.4,0.113,0.03,7.3,9.5,5.7,-0.41
00-0038396,NYG,Eric Gray,RB,4,,,0.006,,0.077,0,-0.66,4.2,0.124,0,7.5,9.9,5.75,-0.22
00-0038115,NYG,Daniel Bellinger,TE,1,,,0.11,,0,1,-0.3,4.4,0.1,0.05,6.3,8.1,5.46,0.05
00-0036145,NYG,Lawrence Cager,TE,2,,,0.02,,,,,,0.149,0,7.3,9.1,5.46,0.11
00-0035535,NYG,Darius Slayton,WR,1,,,0.166,,0,0,-0.44,4.6,0.064,-0.02,10.9,10.8,5.04,0.3
00-0038117,NYG,Wan'Dale Robinson,WR,1,0.038,,0.166,,0,0,-0.33,4.5,0.087,0.03,5.8,7.3,5.29,-0.51
00-0035639,NYG,Parris Campbell,WR,2,,,,,0,0,0.21,5.6,0.125,0,6.6,8.9,5.46,-0.89
00-0038938,NYG,Jalin Hyatt,WR,1,,,0.155,,,,,,0.054,0.03,16.2,14,5.7,-0.7
00-0036165,NYG,Isaiah Hodgins,WR,2,,,0.053,,,,,,0.13,0.01,8,8.1,4.85,-0.33
00-0032385,NYG,Sterling Shepard,WR,2,0.005,,0.079,,,,,,0.215,-0.01,8.2,9.2,5.19,-0.73
00-0035645,NYG,Gunner Olszewski,WR,4,,,0.015,,0.125,0,-0.21,4.6,0.129,0.01,8,9.8,5.5,-0.31
00-0036212,MIA,Tua Tagovailoa,QB,1,0.085,,,,0.3,0.1,-0.77,4.4,,,,,,
00-0034401,MIA,Mike White,QB,2,,,,,1,0,-0.32,4.4,,,,,,
00-0031687,MIA,Raheem Mostert,RB,2,0.413,,0.075,,0.07,0.082,0.15,6.6,0.142,-0.02,4.1,8.2,6.43,0.2
00-0039040,MIA,Devon Achane,RB,2,0.435,,0.105,,0.04,0.179,0.8,9,0.183,-0.01,4.7,8.6,6.36,0.7
00-0034115,MIA,Jeffery Wilson,RB,3,0.033,,0.005,,0.07,0.052,0,5.2,0.121,-0.05,5.5,8,5.67,0.17
00-0035125,MIA,Alec Ingold,RB,1,0.005,,0.029,,1,0,-0.44,4.4,0.136,-0.01,6.3,8.9,5.66,-0.05
00-0034798,MIA,Durham Smythe,TE,1,,,0.065,,1,0,-0.33,4.4,0.159,0.02,6.9,8.4,5.25,-0.31
00-0038720,MIA,Julian Hill,TE,3,,,0.021,,,,,,0.139,-0.02,7.4,9.2,5.51,0.06
00-0032214,MIA,Tyler Kroft,TE,2,,,,,,,,,0.128,0.01,7.7,9.1,5.31,-0.01
00-0033040,MIA,Tyreek Hill,WR,1,0.014,,0.34,,0,0.017,0.2,6.0,0.119,0.05,10.5,11.7,6,0.7
00-0036613,MIA,Jaylen Waddle,WR,3,0.01,,0.235,,0,0.042,-0.19,4.5,0.103,0.03,9.9,10.1,5.3,0.44
00-0036326,MIA,Chase Claypool,WR,3,,,0.005,,0.111,0,0.16,5,0.115,-0.04,10,10.5,5.19,-0.56
00-0032688,MIA,Robbie  Chosen,WR,3,,,,,,,,,0.099,-0.04,10.7,11.3,5.42,-0.61
00-0034419,MIA,Braxton Berrios,WR,2,0.005,,0.055,,0,0,0.09,5,0.115,0.01,7.5,9.4,5.54,-0.48
00-0034418,MIA,Cedrick Wilson,WR,2,,,0.038,,0,0,-0.35,4.5,0.092,0.01,9.6,10.1,5.26,-0.05
00-0034054,MIA,River Cracraft,WR,2,,,0.021,,,,,,0.179,0.01,8.1,8.9,5.2,0.28
00-0037348,MIA,Tanner Conner,WR,3,,,0.006,,,,,,0.129,-0.06,7.9,9.5,5.52,
00-0039152,TEN,Will Levis,QB,1,0.071,,,,0.5,0,-0.44,4.4,,,,,,
00-0038128,TEN,Malik Willis,QB,2,,,,,0.081,0.027,-0.29,4.5,,,,,,
00-0039032,TEN,Tyjae Spears,RB,2,0.211,,0.151,,0.062,0.062,0.1,5,0.115,-0.02,3,8.3,7.08,0.1
00-0032764,TEN,Derrick Henry,RB,1,0.685,,0.1,,0.092,0.038,0.1,6.7,0.108,0,3,7.5,6.63,0.5
00-0037809,TEN,Chigoziem Okonkwo,TE,1,0.009,,0.168,,0.478,0,-0.41,4.4,0.1,0.01,7.8,9.2,5.31,-0.03
00-0038589,TEN,Josh Whyle,TE,2,,,,,,,,,0.217,-0.01,8.6,9.2,5.33,0.12
00-0035259,TEN,Trevon Wesco,TE,1,,,0.016,,,,,,0.13,-0.03,7.6,9.5,5.47,0.37
00-0034193,TEN,Kevin Rader,TE,2,,,0.006,,,,,,0.13,-0.01,7.6,9.6,5.55,-0.38
00-0030564,TEN,DeAndre Hopkins,WR,1,0.005,,0.26,,0,1,-0.3,4.5,0.129,0.01,11.9,10.3,4.85,-0.92
00-0036182,TEN,Nick Westbrook-Ikhine,WR,2,,,0.105,,,,,,0.135,-0.01,10.4,10.8,4.96,0.08
00-0032398,TEN,Chris Moore,WR,2,0.014,,0.071,,0,0,-0.06,5.6,0.106,0.04,10.2,11.2,5.84,-0.58
00-0037742,TEN,Treylon Burks,WR,1,0.005,,0.12,,0.042,0,-0.01,4.7,0.093,0,11.5,12.6,5.67,-0.61
00-0037273,TEN,Kyle Philips,WR,4,,,,,,,,,0.09,0.02,8.1,9.5,5.66,-0.36
00-0038632,TEN,Colton Dowell,WR,3,,,0.004,,,,,,0.124,-0.01,9,9.9,5.52,